seat,candidate,party,candidate_votes,party_total_votes,party_rank,comparison_figure
1,Marin Sanna,SDP,35628,80131,1,80131.0
2,Ikonen Anna-Kaisa,KOK,11428,66545,1,66545.0
3,Bergbom Miko,PS,10525,62496,1,62496.0
4,Merinen Ville,SDP,6274,80131,2,40065.5
5,Kiuru Pauli,KOK,10982,66545,2,33272.5
6,Vigelius Joakim,PS,10113,62496,2,31248.0
7,Nurminen Ilmari,SDP,4781,80131,3,26710.333333
8,Tynkkynen Oras,VIHR,5401,23241,1,23241.0
9,Vikman Sofia,KOK,7548,66545,3,22181.666667
10,Ovaska Jouni,KESK,6376,22010,1,22010.0
11,Kontula Anna,VAS,4909,21307,1,21307.0
12,Puisto Sakari,PS,6592,62496,3,20832.0
13,Asell Marko,SDP,4540,80131,4,20032.75
14,Tanus Sari,KD,6117,16912,1,16912.0
15,Satonen Arto,KOK,6029,66545,4,16636.25
16,Lyly Lauri,SDP,4533,80131,5,16026.2
17,Savio Sami,PS,6012,62496,4,15624.0
18,Viitanen Pia,SDP,4112,80131,6,13355.166667
19,Jäntti Aleksi,KOK,4157,66545,5,13309.0
20,Niemi Veijo,PS,3135,62496,5,12499.2
