candidate,party,advance_votes,election_day_votes,total_votes
Ala-Herttuala Marika,SDP,838,532,1370
Asell Marko,SDP,2585,1955,4540
Hamari Lotta,SDP,1534,1141,2675
Hänninen Mikko,SDP,410,250,660
Jokinen Jenni,SDP,744,532,1276
Julin Sofia,SDP,596,323,919
Järvinen Hannu,SDP,463,366,829
Kumlander Joni,SDP,1383,996,2379
Kuusipalo Saana,SDP,913,627,1540
Laine Hanna,SDP,1561,922,2483
Loukaskorpi Johanna,SDP,1396,860,2256
Lyly Lauri,SDP,3216,1317,4533
Machaal Mahmoud,SDP,278,189,467
Mankkinen Leena,SDP,470,210,680
Marin Sanna,SDP,23682,11946,35628
Merinen Ville,SDP,3861,2413,6274
Nurminen Ilmari,SDP,3348,1433,4781
Petäkoski-Hult Tuula,SDP,440,244,684
Tolvanen Taru,SDP,1188,857,2045
Viitanen Pia,SDP,2800,1312,4112
Holma Kimmo,VKK,64,152,216
Alafrantti Toni,VKK,45,101,146
Palmroth Ruben,VKK,21,25,46
Miettinen Mikko,VKK,31,68,99
Ala-Keturi Terhi,KESK,215,173,388
Arvela Ari,KESK,432,311,743
Haapasaari Tarja,KESK,95,84,179
Hakanen Pertti,KESK,725,585,1310
Holma Hanna,KESK,966,669,1635
Liuha Tuukka,KESK,181,158,339
Lähdeniemi Linda,KESK,739,540,1279
Lösönen Matias,KESK,202,184,386
Mäkinen-Aakula Marjo,KESK,601,340,941
Naskali Raili,KESK,120,66,186
Ovaska Jouni,KESK,4098,2278,6376
Pirttilahti Arto,KESK,2592,1465,4057
Pulkka Janne,KESK,113,94,207
Riitakorpi Janne,KESK,116,57,173
Sandroos Aleksi,KESK,292,212,504
Sarvijärvi Minna,KESK,616,374,990
Schulze-Steinen Petra,KESK,898,688,1586
Simonen Miina-Maija,KESK,148,57,205
Särkilampi Matti,KESK,49,30,79
Äijö Matti,KESK,310,137,447
Juslén Ilari,LIBE,57,41,98
Kivistö Joni-Petteri,LIBE,83,79,162
Kuusama Eliisa,LIBE,326,241,567
Kuusama Timo-Pekka,LIBE,71,62,133
Kyllönen Kimmo,LIBE,21,19,40
Murola Anton,LIBE,62,38,100
Nieminen Jani,LIBE,64,33,97
Peltola Juha-Matti,LIBE,146,85,231
Ristimäki Juha,LIBE,114,76,190
Salimäki Jussi-Pekka,LIBE,25,16,41
Torrkulla Kaj,LIBE,79,42,121
Vihervaara Tommi,LIBE,174,126,300
Çaglayan Merve,VIHR,303,148,451
Haapa-aho Olga,VIHR,370,190,560
Halttula Timo,VIHR,121,85,206
Helimo Matti,VIHR,369,304,673
Hänninen Iina,VIHR,445,200,645
Jussila Perttu,VIHR,1072,430,1502
Järvisalo Vilma,VIHR,399,165,564
Kujansuu Nuutti,VIHR,62,57,119
Lahikainen Stiina,VIHR,273,170,443
Moilanen Anna,VIHR,289,175,464
Mustakallio Jaakko,VIHR,1673,908,2581
Pehkonen Ninni,VIHR,267,202,469
Repo Sirpa,VIHR,500,274,774
Räsänen Kaisa,VIHR,271,214,485
Sangervo Julia,VIHR,2667,1081,3748
Suomela Iiris,VIHR,1780,790,2570
Suoniemi Juhana,VIHR,234,167,401
Tynkkynen Oras,VIHR,3263,2138,5401
von Knorring Tanja,VIHR,50,26,76
Wesslin Tiina,VIHR,662,447,1109
von Nandelstadh Wilhelm,RKP,582,355,937
Aaltonen Teemu,KOK,295,301,596
Berg Pirjo,KOK,237,87,324
Evilä Tommi,KOK,1748,1495,3243
Haavisto Jussi,KOK,1114,898,2012
Hietaranta Sonja,KOK,1383,1031,2414
Ikonen Anna-Kaisa,KOK,7478,3950,11428
Jäntti Aleksi,KOK,2363,1794,4157
Järvensivu Antti,KOK,211,173,384
Kinnunen Jari,KOK,2473,1385,3858
Kiuru Pauli,KOK,6556,4426,10982
Leino Ida,KOK,1686,849,2535
Lohja Sebastian,KOK,442,246,688
Nordström Pia,KOK,919,502,1421
Salmi Olli,KOK,238,150,388
Satonen Arto,KOK,4029,2000,6029
Träskbäck Jocka,KOK,2236,1859,4095
Vahvelainen Saana,KOK,1415,1086,2501
Vikman Sofia,KOK,4669,2879,7548
Virkkunen Katri,KOK,1113,829,1942
Alén Ari "Bono",KRIP,67,127,194
Heinonen Jenna-Kaisa,KRIP,61,98,159
Seesvalo Sanna,KRIP,130,171,301
Karvonen Matti,VL,64,121,185
Kulmala Taru,VL,47,59,106
Kuusela Harri,VL,53,105,158
Kuusjärvi Pauli,VL,31,73,104
Lehtonen Tiina,VL,15,21,36
Messi Tommi,VL,28,44,72
Salomaa Minna,VL,34,92,126
Simola Matti,VL,8,16,24
Tenhunen Pekka,VL,23,40,63
Ulmanen Maija-Sofia,VL,93,180,273
Virtanen Kari,VL,399,1380,1779
Karttunen Mika,SKE,38,45,83
Karvinen Juho,Piraattip.,147,105,252
Lindroos Teemu,Piraattip.,12,6,18
Tammenoksa Arto,Piraattip.,50,30,80
Törnkvist Klaus,Piraattip.,32,33,65
Yltävä Jarno,Piraattip.,14,21,35
Grönfors Mervi,SKP,53,22,75
Hollo Taina,SKP,23,10,33
Packalén Petra,SKP,89,48,137
Selin Olavi,SKP,9,6,15
Soimajärvi Riitta,SKP,2,2,4
Suhonen Vesa,SKP,41,27,68
Sulander Lauri,SKP,27,15,42
Särkkä Risto,SKP,24,12,36
Tapanainen Bex,SKP,29,34,63
Aakus Katariina,VAS,224,100,324
Aaltonen Mikko,VAS,641,327,968
Hautanen Teija,VAS,361,198,559
Holopainen Selmi,VAS,949,244,1193
Ilmaniemi Toni,VAS,295,153,448
Kontula Anna,VAS,3261,1648,4909
Kosola Satu,VAS,403,229,632
Kotalampi Katja,VAS,273,189,462
Leppänen Aki,VAS,272,179,451
Lind Mari,VAS,372,244,616
Lindén Lauri,VAS,520,291,811
Löf Mirka,VAS,308,153,461
Minkkinen Minna,VAS,1939,812,2751
Niemi Aapo,VAS,367,245,612
Nyman Anne,VAS,1609,731,2340
Rask Virva-Mari,VAS,458,272,730
Saarela Leena,VAS,551,288,839
Sheikh Liban,VAS,1244,421,1665
Sirkesalo Sohvi,VAS,218,117,335
Turunen Esko,VAS,127,74,201
Ahtiainen Veli-Matti,PS,825,965,1790
Asunta Maria,PS,1507,1197,2704
Bergbom Miko,PS,5680,4845,10525
Grönroos Arto,PS,866,702,1568
Isokangas Tuomo,PS,353,253,606
Kaleva Lassi,PS,1535,930,2465
Kymäläinen Sami,PS,1454,1298,2752
Moisander Antti,PS,573,596,1169
Niemi Veijo,PS,1850,1285,3135
Ojala Janne,PS,1243,907,2150
Pelkonen Erja,PS,1512,1316,2828
Puisto Sakari,PS,4120,2472,6592
Puolimatka Marika,PS,918,888,1806
Raevaara Aarne,PS,604,409,1013
Saarelainen Auri,PS,762,636,1398
Saarinen Susanna,PS,570,519,1089
Saikkonen Jani,PS,828,721,1549
Savio Sami,PS,3654,2358,6012
Vigelius Joakim,PS,5533,4580,10113
Wesin Lisa,PS,653,579,1232
Alakotila Antti,LIIKE,80,94,174
Jokinen Roope,LIIKE,164,170,334
Järvilehto Pasi,LIIKE,53,46,99
Kujanpää Eveliina,LIIKE,342,348,690
Kurkela Aimo,LIIKE,275,250,525
Kähönen Karoliina,LIIKE,1168,1103,2271
Lehtonen Sanna-Liisa,LIIKE,186,190,376
Lindroos Harri,LIIKE,50,62,112
Nieminen Tarja,LIIKE,45,19,64
Peurala Jaana,LIIKE,98,103,201
Pirttikoski Lassi,LIIKE,96,114,210
Rauma Janne,LIIKE,452,502,954
Tappura Kari,LIIKE,71,46,117
Tikka Tuula,LIIKE,68,70,138
Timonen Osku,LIIKE,41,32,73
Viljanen Riikka,LIIKE,24,38,62
Vilkki Merja,LIIKE,49,35,84
Virtanen Asko,LIIKE,30,27,57
Vuorenmaa Marjo,LIIKE,50,42,92
Vuorinen Emilia,LIIKE,610,656,1266
Auerma Riku,KD,95,71,166
Haapala Riitta,KD,133,104,237
Hakola Marika,KD,285,197,482
Hietala Atro,KD,103,78,181
Hovi Marjut,KD,238,180,418
Ikonen Jaakko,KD,119,89,208
Joki Mia,KD,317,211,528
Jussila Jorma,KD,377,284,661
Kuismanen Riitta,KD,752,412,1164
Miilunpalo Seppo,KD,70,48,118
Nurmela Piia,KD,427,319,746
Ojanperä Jarmo,KD,121,42,163
Pursiainen Sirpa,KD,954,525,1479
Pöyhönen Laura,KD,112,100,212
Rauhalammi Timo,KD,85,55,140
Raunio Pirjo,KD,310,218,528
Rinta-Valkama Ami,KD,186,119,305
Tanus Sari,KD,4144,1973,6117
Turunen Kauko,KD,1929,931,2860
Ylihaveri Johanna,KD,128,71,199
Illman Jaakko,EOP,27,35,62
Gauffin Minnamaaria,EOP,14,11,25
Jarske-Fransas Anna,EOP,23,12,35
Kaski Sanna,EOP,66,44,110
Lähde Lila,EOP,47,39,86
Monola-Lemière Kapa,EOP,34,31,65
Perttunen Jaakko,EOP,119,99,218
Kallioniemi Kati,FP,17,8,25
Pöntinen Riikka,FP,52,27,79
Äkräs Aki,FP,30,17,47
Sippola Sami,SML,15,16,31
Tuomisto Aleksi,SML,7,6,13
Uutela Satu,SML,72,41,113
